W 48 48 50
T 35 0 4 2
T 35 1 4 2
T 35 2 4 2
T 35 3 4 2
T 35 4 4 2
T 35 5 5 0
T 35 6 5 0
T 35 7 4 2
T 35 8 4 2
T 35 9 4 2
T 35 10 4 2
T 35 11 4 2
T 35 12 4 2
T 35 13 4 2
T 35 14 4 2
T 35 15 5 0
T 35 16 5 0
T 35 17 4 2
T 35 18 4 2
T 35 19 4 2
T 35 20 4 2
T 35 21 4 2
T 35 22 4 2
T 35 23 4 2
T 35 24 4 2
T 35 25 5 0
T 35 26 5 0
T 35 27 4 2
T 35 28 4 2
T 35 29 4 2
T 35 30 4 2
T 35 31 4 2
T 35 32 4 2
T 35 33 4 2
T 35 34 4 2
T 35 35 5 0
T 35 36 5 0
T 35 37 4 2
T 35 38 4 2
T 35 39 4 2
T 35 40 4 2
T 35 41 4 2
T 35 42 4 2
T 35 43 4 2
T 35 44 4 2
T 35 45 4 2
T 35 46 4 2
T 35 47 4 2
T 36 0 4 1
T 36 1 4 1
T 36 2 4 1
T 36 3 4 1
T 36 4 4 1
T 36 5 5 0
T 36 6 5 0
T 36 7 4 1
T 36 8 4 1
T 36 9 4 1
T 36 10 4 1
T 36 11 4 1
T 36 12 4 1
T 36 13 4 1
T 36 14 4 1
T 36 15 5 0
T 36 16 5 0
T 36 17 4 1
T 36 18 4 1
T 36 19 4 1
T 36 20 4 1
T 36 21 4 1
T 36 22 4 1
T 36 23 4 1
T 36 24 4 1
T 36 25 5 0
T 36 26 5 0
T 36 27 4 1
T 36 28 4 1
T 36 29 4 1
T 36 30 4 1
T 36 31 4 1
T 36 32 4 1
T 36 33 4 1
T 36 34 4 1
T 36 35 5 0
T 36 36 5 0
T 36 37 4 1
T 36 38 4 1
T 36 39 4 1
T 36 40 4 1
T 36 41 4 1
T 36 42 4 1
T 36 43 4 1
T 36 44 4 1
T 36 45 4 1
T 36 46 4 1
T 36 47 4 1
T 37 5 2 3
T 37 6 2 4
T 37 15 2 3
T 37 16 2 4
T 37 25 2 3
T 37 26 2 4
T 37 35 4 3
T 37 36 4 4
T 38 5 2 3
T 38 6 2 4
T 38 15 2 3
T 38 16 2 4
T 38 25 2 3
T 38 26 2 4
T 38 35 4 3
T 38 36 4 4
T 39 5 2 3
T 39 6 2 4
T 39 15 2 3
T 39 16 2 4
T 39 25 2 3
T 39 26 2 4
T 39 35 4 3
T 39 36 4 4
T 40 5 2 3
T 40 6 2 4
T 40 15 2 3
T 40 16 2 4
T 40 25 2 3
T 40 26 2 4
T 40 35 4 3
T 40 36 4 4
T 41 5 2 3
T 41 6 2 4
T 41 15 2 3
T 41 16 2 4
T 41 25 2 3
T 41 26 2 4
T 41 35 4 3
T 41 36 4 4
T 42 5 2 3
T 42 6 2 4
T 42 15 2 3
T 42 16 2 4
T 42 25 2 3
T 42 26 2 4
T 42 35 4 3
T 42 36 4 4
T 43 5 2 3
T 43 6 2 4
T 43 15 2 3
T 43 16 2 4
T 43 25 2 3
T 43 26 2 4
T 43 35 4 3
T 43 36 4 4
T 44 5 2 3
T 44 6 2 4
T 44 15 2 3
T 44 16 2 4
T 44 25 2 3
T 44 26 2 4
T 44 35 4 3
T 44 36 4 4
T 45 5 2 3
T 45 6 2 4
T 45 15 2 3
T 45 16 2 4
T 45 25 2 3
T 45 26 2 4
T 45 35 4 3
T 45 36 4 4
T 46 5 2 3
T 46 6 2 4
T 46 15 2 3
T 46 16 2 4
T 46 25 2 3
T 46 26 2 4
T 46 35 4 3
T 46 36 4 4
T 47 5 2 3
T 47 6 2 4
T 47 15 2 3
T 47 16 2 4
T 47 25 2 3
T 47 26 2 4
T 47 35 4 3
T 47 36 4 4
I 6 6 1 3
I 16 6 2 0
I 26 6 3 1
I 36 6 4 4
I 6 16 5 3
I 16 16 6 0
I 26 16 7 1
I 36 16 8 4
I 6 26 9 3
I 16 26 10 0
I 26 26 11 1
I 36 26 12 4
I 6 36 13 3
I 16 36 14 0
I 26 36 15 1
I 36 36 16 4
A CAR 1 6 47 6
A CAR 12 6 47 6
A CAR 22 6 47 6
A CAR 32 6 47 6
A CAR 42 6 47 6
A CAR 1 16 47 16
A CAR 12 16 47 16
A CAR 22 16 47 16
A CAR 32 16 47 16
A CAR 42 16 47 16
A CAR 1 26 47 26
A CAR 12 26 47 26
A CAR 22 26 47 26
A CAR 32 26 47 26
A CAR 42 26 47 26
A CAR 46 5 0 5
A CAR 35 5 0 5
A CAR 24 5 0 5
A CAR 13 5 0 5
A CAR 46 15 0 15
A CAR 35 15 0 15
A CAR 24 15 0 15
A CAR 13 15 0 15
A CAR 46 25 0 25
A CAR 35 25 0 25
A CAR 24 25 0 25
A CAR 13 25 0 25
A CAR 46 35 0 35
A CAR 35 35 0 35
A CAR 24 35 0 35
A CAR 13 35 0 35
A CAR 5 1 5 47
A CAR 5 12 5 47
A CAR 5 22 5 47
A CAR 5 32 5 47
A CAR 15 1 15 47
A CAR 15 12 15 47
A CAR 15 22 15 47
A CAR 15 32 15 47
A CAR 25 1 25 47
A CAR 25 12 25 47
A CAR 25 22 25 47
A CAR 25 32 25 47
A CAR 35 1 35 47
A CAR 35 12 35 47
A CAR 35 22 35 47
A CAR 35 32 35 47
A CAR 6 46 6 0
A CAR 6 35 6 0
A CAR 6 24 6 0
A CAR 6 13 6 0
A CAR 16 46 16 0
A CAR 16 35 16 0
A CAR 16 24 16 0
A CAR 16 13 16 0
A CAR 26 46 26 0
A CAR 26 35 26 0
A CAR 26 24 26 0
A CAR 26 13 26 0
A TRUCK 1 36 47 36
A TRUCK 46 35 0 35
A TRUCK 36 1 36 47
A TRUCK 35 46 35 0
